logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
-0.075546905	0.485049928	0.920885655	0.952698522	X3_LINE:RTE-BovB:LINE	0.941336997	1.119257355	AL_RNA_TCDD_F	TCDD	F	X3_LINE	RTE-BovB	LINE
0.019750877	2.8232698	0.922633085	0.952698522	X6B_LINE:CR1:LINE	6.936953113	6.205215194	AL_RNA_TCDD_F	TCDD	F	X6B_LINE	CR1	LINE
0.017495765	2.71150589	0.92685731	0.956086788	MER50B:ERV1:LTR	6.362171324	7.393499602	AL_RNA_TCDD_F	TCDD	F	MER50B	ERV1	LTR
0.027295715	1.099603192	0.930233421	0.958470636	IAPEY5_I-int:ERVK:LTR	1.72408885	1.841998667	AL_RNA_TCDD_F	TCDD	F	IAPEY5_I-int	ERVK	LTR
0.044187827	-0.00424842	0.931058754	0.958470636	L1M3d:L1:LINE	0.616104444	0.703223548	AL_RNA_TCDD_F	TCDD	F	L1M3d	L1	LINE
0.010232865	6.803953907	0.93385105	0.960370147	LTR10_RN:ERVK:LTR	102.8057063	100.754255	AL_RNA_TCDD_F	TCDD	F	LTR10_RN	ERVK	LTR
-0.02268259	5.228713742	0.935412381	0.96100117	RLTR9A3:ERVK:LTR	36.0255362	34.86982891	AL_RNA_TCDD_F	TCDD	F	RLTR9A3	ERVK	LTR
-0.046179622	0.693401291	0.93921683	0.963933063	MLT1H2-int:ERVL-MaLR:LTR	1.368347553	1.273074153	AL_RNA_TCDD_F	TCDD	F	MLT1H2-int	ERVL-MaLR	LTR
0.035864426	-0.189568064	0.941038165	0.964825783	tRNA-Trp-TGG:tRNA:tRNA	0.572474528	0.668734298	AL_RNA_TCDD_F	TCDD	F	tRNA-Trp-TGG	tRNA	tRNA
-0.030552611	4.612461758	0.942958668	0.965818272	UCON29:PiggyBac?:DNA	24.65338331	24.39864193	AL_RNA_TCDD_F	TCDD	F	UCON29	PiggyBac?	DNA
-0.038862423	1.022159181	0.945230724	0.96716847	Charlie25:hAT-Charlie:DNA	1.538174324	2.006524689	AL_RNA_TCDD_F	TCDD	F	Charlie25	hAT-Charlie	DNA
0.013107587	2.683482495	0.946187263	0.967171255	RLTR9B:ERVK:LTR	6.365331542	5.701372364	AL_RNA_TCDD_F	TCDD	F	RLTR9B	ERVK	LTR
-0.028606098	3.372111202	0.94792832	0.967975142	RLTR13C3:ERVK:LTR	10.06575214	9.240247215	AL_RNA_TCDD_F	TCDD	F	RLTR13C3	ERVK	LTR
0.00685224	2.55405278	0.954290438	0.973491453	MMTV-int:ERVK:LTR	5.176696837	5.513709302	AL_RNA_TCDD_F	TCDD	F	MMTV-int	ERVK	LTR
-0.013381902	12.77656939	0.956235818	0.973517188	L1Md_T:L1:LINE	7063.46498	7049.06601	AL_RNA_TCDD_F	TCDD	F	L1Md_T	L1	LINE
